"","team","week","HP01_mean","HP01_perc2p5","HP01_perc97p5","Date","HP02_mean","HP02_perc2p5","HP02_perc97p5","HP03_mean","HP03_perc2p5","HP03_perc97p5","HP04_mean","HP04_perc2p5","HP04_perc97p5","HP05_mean","HP05_perc2p5","HP05_perc97p5","HP06_mean","HP06_perc2p5","HP06_perc97p5","HP07_mean","HP07_perc2p5","HP07_perc97p5","HP08_mean","HP08_perc2p5","HP08_perc97p5","HP09_mean","HP09_perc2p5","HP09_perc97p5","HP10_mean","HP10_perc2p5","HP10_perc97p5","HP11_mean","HP11_perc2p5","HP11_perc97p5","HP12_mean","HP12_perc2p5","HP12_perc97p5"
"44","COL",44,0.000352,0,0.002202,2021-06-29,0,0,0,0.000352,0,0.002202,0,0,0,0,0,1e-06,0.000909,1.2e-05,0.004677,0.001424,2.9e-05,0.006839,0.000586,2e-06,0.003457,0,0,0,0,0,0,0.001347,3.5e-05,0.005683,0.002131,8e-05,0.008112
"45","COL",45,0.000214,0,0.001405,2021-07-06,0,0,0,0.000214,0,0.001405,0,0,0,0,0,0,0.000588,6e-06,0.003227,0.000934,1.5e-05,0.00481,0.000366,1e-06,0.00229,0,0,0,0,0,0,0.000894,1.9e-05,0.004036,0.00144,4.3e-05,0.00586
"46","COL",46,0.00013,0,0.000894,2021-07-13,0,0,0,0.00013,0,0.000894,0,0,0,0,0,0,0.00038,3e-06,0.002222,0.000613,7e-06,0.003383,0.000229,0,0.001512,0,0,0,0,0,0,0.000594,1e-05,0.002868,0.000974,2.4e-05,0.00424
"47","COL",47,7.9e-05,0,0.000567,2021-07-20,0,0,0,7.9e-05,0,0.000567,0,0,0,0,0,0,0.000245,1e-06,0.001528,0.000403,4e-06,0.00237,0.000144,0,0.000997,0,0,0,0,0,0,0.000394,5e-06,0.002032,0.000659,1.2e-05,0.003073
"48","COL",48,4.8e-05,0,0.00036,2021-07-27,0,0,0,4.8e-05,0,0.00036,0,0,0,0,0,0,0.000159,1e-06,0.001048,0.000265,1e-06,0.001665,9e-05,0,0.000659,0,0,0,0,0,0,0.000263,2e-06,0.001448,0.000447,7e-06,0.002225
"49","COL",49,2.9e-05,0,0.00023,2021-08-03,0,0,0,2.9e-05,0,0.00023,0,0,0,0,0,0,0.000103,0,0.000715,0.000175,1e-06,0.001172,5.7e-05,0,0.000436,0,0,0,0,0,0,0.000175,1e-06,0.00103,0.000304,4e-06,0.001623
"50","COL",50,1.8e-05,0,0.000146,2021-08-10,0,0,0,1.8e-05,0,0.000146,0,0,0,0,0,0,6.7e-05,0,0.000488,0.000116,0,0.000823,3.6e-05,0,0.000289,0,0,0,0,0,0,0.000117,0,0.000731,0.000207,1e-06,0.001183
"51","COL",51,1.1e-05,0,9.2e-05,2021-08-17,0,0,0,1.1e-05,0,9.2e-05,0,0,0,0,0,0,4.3e-05,0,0.000329,7.7e-05,0,0.000578,2.2e-05,0,0.000191,0,0,0,0,0,0,7.8e-05,0,0.000519,0.000141,1e-06,0.000856
"52","COL",52,6e-06,0,5.9e-05,2021-08-24,0,0,0,6e-06,0,5.9e-05,0,0,0,0,0,0,2.8e-05,0,0.000225,5.1e-05,0,0.000403,1.4e-05,0,0.000125,0,0,0,0,0,0,5.2e-05,0,0.000369,9.7e-05,0,0.000623
"53","COL2",1,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,2020-09-01,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,3.82154264687443e-05,3.43911701995917e-05,4.26856107563017e-05,3.82142895735521e-05,3.44131549146572e-05,4.26681168869297e-05,3.8097974886911e-05,3.43211578058905e-05,4.25259983351554e-05,3.8097974886911e-05,3.43211578058905e-05,4.25259983351554e-05,3.8097974886911e-05,3.43211578058905e-05,4.25259983351554e-05,3.8097974886911e-05,3.43211578058905e-05,4.25259983351554e-05
