"","team","week","RL01_mean","RL01_perc2p5","RL01_perc97p5","Date","RL02_mean","RL02_perc2p5","RL02_perc97p5","RL03_mean","RL03_perc2p5","RL03_perc97p5","RL04_mean","RL04_perc2p5","RL04_perc97p5","RL05_mean","RL05_perc2p5","RL05_perc97p5","RL06_mean","RL06_perc2p5","RL06_perc97p5","RL07_mean","RL07_perc2p5","RL07_perc97p5","RL08_mean","RL08_perc2p5","RL08_perc97p5"
"61","COL2",9,0.21546794556788,0.115273528074697,0.387353021747663,2020-08-26,0.21546794556788,0.115273528074697,0.387353021747663,0.181520777202924,0.0972034892326715,0.331850564475075,0.181520777202924,0.0972034892326715,0.331850564475075,0.21546794556788,0.115273528074697,0.331850564475075,0.157936165153698,0.0809922849767137,0.331850564475075,0.181520777202924,0.0972034892326715,0.331850564475075,0.13289811532974,0.0680157534888286,0.331850564475075
"62","COL2",10,0.346307367643625,0.181470982008351,0.638027964167681,2020-09-02,0.346307367643625,0.181470982008351,0.638027964167681,0.28758751281047,0.150933276796214,0.539101560106744,0.28758751281047,0.150933276796214,0.539101560106744,0.346307367643625,0.181470982008351,0.539101560106744,0.187613740040305,0.0897819039362824,0.539101560106744,0.28758751281047,0.150933276796214,0.539101560106744,0.155181978495205,0.0743967318335143,0.539101560106744
"63","COL2",11,0.545845525920972,0.284681294733253,1.01037203085068,2020-09-09,0.545845525920972,0.284681294733253,1.01037203085068,0.449353321405496,0.234343813076293,0.844169987428193,0.449353321405496,0.234343813076293,0.844169987428193,0.545763458565477,0.284681294733253,0.844169987428193,0.222161739325872,0.100191137502466,0.844169987428193,0.449353321405496,0.234343813076293,0.844169987428193,0.181068863606767,0.0824908793538529,0.844169987428193
"64","COL2",12,0.826342118377767,0.443971228606839,1.46278317652987,2020-09-16,0.826342118377767,0.443971228606839,1.46278317652987,0.680957867937159,0.359934586574167,1.25456311173636,0.680957867937159,0.359934586574167,1.25456311173636,0.80063517874943,0.443971228606839,1.25456311173636,0.262851014559096,0.114814487534044,1.25456311173636,0.675418022071993,0.359934586574167,1.25456311173636,0.21173871559276,0.0920739130443234,1.25456311173636
"65","COL2",13,1.18623305420912,0.679218321340897,1.91725541216532,2020-09-23,1.18623305420912,0.679218321340897,1.91725541216532,0.991916596203025,0.54966471041179,1.66765236601773,0.991916596203025,0.54966471041179,1.66765236601773,1.02135635568035,0.679218321340897,1.66765236601773,0.314208928580482,0.131977053165118,1.66765236601773,0.910638717658411,0.54966471041179,1.66765236601773,0.251145222645091,0.103473095088028,1.66765236601773
"66","COL2",14,1.57866581788044,1.00357398744478,2.21931294062258,2020-09-30,1.57866581788044,1.00357398744478,2.21931294062258,1.36003229512135,0.821836463116438,2.03247337807501,1.36003229512135,0.821836463116438,2.03247337807501,1.15340811933504,1.00357398744478,2.03247337807501,0.380172077229963,0.154684349181466,2.03247337807501,1.08306202437951,0.821836463116438,2.03247337807501,0.302965084787836,0.121510982336314,2.03247337807501
"67","COL2",15,1.85817418232785,1.35592569966684,2.23773244905775,2020-10-07,1.85817418232785,1.35592569966684,2.23773244905775,1.67055438400977,1.13852482000705,2.14264109322286,1.67055438400977,1.13852482000705,2.14264109322286,1.13675278388705,0.996266582402644,2.14264109322286,0.452406027277467,0.187168357863741,2.14264109322286,1.11664945972706,0.989831479319863,2.14264109322286,0.361415431296298,0.144636995389638,2.14264109322286
"68","COL2",16,1.96733947428417,1.63038806509741,2.23723568539838,2020-10-14,1.96501378541743,1.62826889119653,2.23447835197437,1.86159273440303,1.4370500717889,2.14237650507043,1.85930822356269,1.43510896040686,2.13982426370479,1.08707352644456,0.874686506743204,2.13982426370479,0.540550509943611,0.226220284199551,2.13982426370479,1.06911159788396,0.877408955852273,2.13982426370479,0.435050184996902,0.174457307871958,2.13982426370479
"69","COL2",17,1.85186390726376,1.3476410560865,2.25096213815365,2020-10-21,1.81952865075156,1.32611066085833,2.20965797826237,1.85009747947998,1.46546779486472,2.18568138871918,1.81644838279008,1.44111858102455,2.14462406898774,0.998749695602941,0.744957579179655,2.14462406898774,0.636330002369628,0.285829220370628,2.14462406898774,0.976045334815383,0.743439401809373,2.14462406898774,0.510921865737011,0.21112752205615,2.14462406898774
"70","COL2",18,1.5577706624715,0.953682906154771,2.12194533744149,2020-10-28,1.48234085862366,0.910694258440866,2.01483545963212,1.63817716530747,1.0815875011506,2.14270036323656,1.55531819020404,1.03223548176648,2.02977117126676,0.878420779132309,0.619818466407534,2.02977117126676,0.728257434950952,0.33352222628989,2.02977117126676,0.838820809959312,0.598737089328514,2.02977117126676,0.575326028265653,0.240190491637295,2.02977117126676
