"","Team","Scenario","Reduction","Rank","Output"
"182","ENS","HP17",31.0819398516618,6,"Magnitude Reduction"
"183","COL","HP18",1.33053083307944,8.5,"Magnitude Reduction"
"184","NEU3","HP18",21.1351436693305,7,"Magnitude Reduction"
"185","UTA","HP18",31.0693395206992,7,"Magnitude Reduction"
"186","UVA","HP18",50.181696790544,6,"Magnitude Reduction"
"187","IMP","HP18",51.4514396497058,5.5,"Magnitude Reduction"
"188","COL2","HP18",27.7216763640594,5.5,"Magnitude Reduction"
"189","ENS","HP18",30.4816378045697,8,"Magnitude Reduction"
"190","COL","HP19",6.04215551869846,5.5,"Magnitude Reduction"
"191","NEU3","HP19",28.8525333783297,6,"Magnitude Reduction"
"192","UTA","HP19",27.5739954389383,8,"Magnitude Reduction"
"193","UVA","HP19",53.970243690155,5,"Magnitude Reduction"
"194","IMP","HP19",50.7194599899701,7.5,"Magnitude Reduction"
"195","COL2","HP19",25.4307536954179,7.5,"Magnitude Reduction"
"196","ENS","HP19",32.0981902852516,5,"Magnitude Reduction"
"197","COL","HP20",5.66600589705547,7,"Magnitude Reduction"
"198","NEU3","HP20",11.0241599916165,9,"Magnitude Reduction"
"199","UTA","HP20",36.3254318143935,5,"Magnitude Reduction"
"200","UVA","HP20",14.1335545467179,9,"Magnitude Reduction"
"201","IMP","HP20",3.20210906526046,9,"Magnitude Reduction"
"202","COL2","HP20",2.78400133284001,9,"Magnitude Reduction"
"203","ENS","HP20",12.189210441314,9,"Magnitude Reduction"
"204","COL","HP21",7.2248315878731,3.5,"Magnitude Reduction"
"205","NEU3","HP21",36.1508663709055,3,"Magnitude Reduction"
"206","UTA","HP21",61.0119775370737,2,"Magnitude Reduction"
"207","UVA","HP21",57.2659289825703,3,"Magnitude Reduction"
"208","IMP","HP21",55.9688160121592,1,"Magnitude Reduction"
"209","COL2","HP21",31.1763703650364,1.5,"Magnitude Reduction"
"210","ENS","HP21",41.4664651426031,3,"Magnitude Reduction"
"211","COL","HP22",11.570887653841,1.5,"Magnitude Reduction"
"212","NEU3","HP22",40.9264517451405,1,"Magnitude Reduction"
"213","UTA","HP22",64.8615010391358,1,"Magnitude Reduction"
"214","UVA","HP22",61.4406042675015,1,"Magnitude Reduction"
"215","IMP","HP22",55.4604776845532,3,"Magnitude Reduction"
"216","COL2","HP22",29.9006427125421,3.5,"Magnitude Reduction"
"217","ENS","HP22",44.0267608504524,1,"Magnitude Reduction"
"218","COL","HP23",7.2248315878731,3.5,"Magnitude Reduction"
"219","NEU3","HP23",36.1177188479357,4,"Magnitude Reduction"
"220","UTA","HP23",56.2224534624041,4,"Magnitude Reduction"
"221","UVA","HP23",57.265442451367,4,"Magnitude Reduction"
"222","IMP","HP23",55.8822348527831,2,"Magnitude Reduction"
"223","COL2","HP23",31.1763703650364,1.5,"Magnitude Reduction"
"224","ENS","HP23",40.6481752612332,4,"Magnitude Reduction"
"225","COL","HP24",11.570887653841,1.5,"Magnitude Reduction"
"226","NEU3","HP24",40.8857699652612,2,"Magnitude Reduction"
"227","UTA","HP24",57.5980400704854,3,"Magnitude Reduction"
"228","UVA","HP24",60.6255375009655,2,"Magnitude Reduction"
"229","IMP","HP24",55.2432927610831,4,"Magnitude Reduction"
"230","COL2","HP24",29.9006427125421,3.5,"Magnitude Reduction"
"231","ENS","HP24",42.6373617773631,2,"Magnitude Reduction"
"232","COL","HP14",0,0,"Peak Delay"
"233","NEU3","HP14",0,0,"Peak Delay"
"234","UTA","HP14",0,0,"Peak Delay"
"235","UVA","HP14",0,0,"Peak Delay"
"236","IMP","HP14",0,0,"Peak Delay"
"237","COL2","HP14",0,0,"Peak Delay"
"238","COL","HP15",0,0,"Peak Delay"
"239","NEU3","HP15",0,0,"Peak Delay"
"240","UTA","HP15",0,0,"Peak Delay"
"241","UVA","HP15",0,0,"Peak Delay"
"242","IMP","HP15",0,0,"Peak Delay"
"243","COL2","HP15",0,0,"Peak Delay"
"244","COL","HP16",-1,0,"Peak Delay"
"245","NEU3","HP16",0,0,"Peak Delay"
"246","UTA","HP16",2,0,"Peak Delay"
"247","UVA","HP16",1,0,"Peak Delay"
"248","IMP","HP16",2,0,"Peak Delay"
"249","COL2","HP16",0,0,"Peak Delay"
"250","COL","HP17",0,0,"Peak Delay"
"251","NEU3","HP17",1,0,"Peak Delay"
"252","UTA","HP17",3,0,"Peak Delay"
"253","UVA","HP17",3,0,"Peak Delay"
"254","IMP","HP17",1,0,"Peak Delay"
"255","COL2","HP17",0,0,"Peak Delay"
"256","COL","HP18",-1,0,"Peak Delay"
"257","NEU3","HP18",0,0,"Peak Delay"
"258","UTA","HP18",2,0,"Peak Delay"
"259","UVA","HP18",1,0,"Peak Delay"
"260","IMP","HP18",2,0,"Peak Delay"
"261","COL2","HP18",0,0,"Peak Delay"
"262","COL","HP19",0,0,"Peak Delay"
"263","NEU3","HP19",1,0,"Peak Delay"
"264","UTA","HP19",3,0,"Peak Delay"
"265","UVA","HP19",3,0,"Peak Delay"
"266","IMP","HP19",1,0,"Peak Delay"
"267","COL2","HP19",0,0,"Peak Delay"
"268","COL","HP20",0,0,"Peak Delay"
"269","NEU3","HP20",1,0,"Peak Delay"
"270","UTA","HP20",0,0,"Peak Delay"
"271","UVA","HP20",0,0,"Peak Delay"
"272","IMP","HP20",0,0,"Peak Delay"
"273","COL2","HP20",0,0,"Peak Delay"
"274","COL","HP21",-1,0,"Peak Delay"
"275","NEU3","HP21",1,0,"Peak Delay"
"276","UTA","HP21",2,0,"Peak Delay"
"277","UVA","HP21",1,0,"Peak Delay"
"278","IMP","HP21",2,0,"Peak Delay"
