"","scenario","team","agegroup","reduction"
"349","HP11_","IMP","Overall",49.3956825410032
"350","HP11_","IMP","0-4 years",54.0083110879378
"351","HP11_","IMP","5-17 years",67.021150572485
"352","HP11_","IMP","18-49 years",42.9138182075837
"353","HP11_","IMP","50-64 years",42.9154338241836
"354","HP11_","IMP","65+ years",44.6496022658863
"355","HP11_","COL2","Overall",20.0683031032795
"356","HP11_","COL2","0-4 years",39.8519338062013
"357","HP11_","COL2","5-17 years",24.6900451978495
"358","HP11_","COL2","18-49 years",13.9424418167803
"359","HP11_","COL2","50-64 years",21.1229154390148
"360","HP11_","COL2","65+ years",25.9035836597445
"361","HP12_","COL","Overall",15.2907971200236
"362","HP12_","COL","0-4 years",18.3648432234443
"363","HP12_","COL","5-17 years",26.636486004281
"364","HP12_","COL","18-49 years",13.1955104188033
"365","HP12_","COL","50-64 years",14.4873883962324
"366","HP12_","COL","65+ years",19.1743563289808
"367","HP12_","NEU","Overall",66.6756731351918
"368","HP12_","NEU","0-4 years",69.2008368805833
"369","HP12_","NEU","5-17 years",73.9563025834543
"370","HP12_","NEU","18-49 years",64.807586930694
"371","HP12_","NEU","50-64 years",62.8499211133476
"372","HP12_","NEU","65+ years",65.0947200682398
"373","HP12_","UTA","Overall",36.8454700553599
"374","HP12_","UTA","0-4 years",37.0683310938713
"375","HP12_","UTA","5-17 years",35.9163578683011
"376","HP12_","UTA","18-49 years",36.7692660876834
"377","HP12_","UTA","50-64 years",36.7614002287117
"378","HP12_","UTA","65+ years",40.8744028125198
"379","HP12_","UVA","Overall",62.8140550136904
"380","HP12_","UVA","0-4 years",69.0573026012227
"381","HP12_","UVA","5-17 years",63.7276159791739
"382","HP12_","UVA","18-49 years",60.6466158508363
"383","HP12_","UVA","50-64 years",63.2025677559598
"384","HP12_","UVA","65+ years",66.1998498738826
"385","HP12_","IMP","Overall",74.2004017505563
"386","HP12_","IMP","0-4 years",80.6278360037306
"387","HP12_","IMP","5-17 years",86.1771167292585
"388","HP12_","IMP","18-49 years",69.1928028364793
"389","HP12_","IMP","50-64 years",70.2776511732385
"390","HP12_","IMP","65+ years",70.9365910263991
"391","HP12_","COL2","Overall",22.1207808917302
"392","HP12_","COL2","0-4 years",43.4483889292665
"393","HP12_","COL2","5-17 years",27.5992349010662
"394","HP12_","COL2","18-49 years",15.3020617335432
"395","HP12_","COL2","50-64 years",23.0914780158098
"396","HP12_","COL2","65+ years",28.16356579438
